"Tuesday, November 14"
"184: Ryan Preisch, LEH dec. Dominic Abounader, MICH, 3-1"

"197: John Jakobsen, LEH dec. Jackson Striggow, MICH, 2-0"

"285: Adam Coon, MICH dec. Jordan Wood, LEH, 6-2"


"Arizona State 32, Pitt 6"

"125: Ryan Millhof, ASU fall. Brendan Price, Pitt, 0:57"

"133: Ali Naser, ASU md. Jake Cherry, Pitt, 12-4"

"141: Nick Zanetta, Pitt dec. Nikko Villareal, ASU, 5-3"

"149: Josh Maruca, ASU dec. Robert Lee, Pitt, 7-2"

"157: Josh Shields, ASU dec. Taleb Rahmani, Pitt, 3-2"

"165: Anthony Valencia, ASU md. Jake Wentzel, Pitt, 15-2"

"174: Zahid Valencia, ASU fall. Austin Bell, Pitt, 1:58"

"184: Kordell Norfleet, ASU dec. Gregg Harvey, Pitt, 6-3"

"197: Kellan Stout, Pitt dec. Cade Belshay, ASU, 2-0"

"285: Tanner Hall, ASU dec. Ryan Solomon, Pitt, 2-0"


"Northern Iowa 21, North Dakota State 19 "

"149: Max Thomsen, UNI dec. Kyle Gliva, NDSU, 6-1"

"157: Clayton Ream, NDSU md. Paden Moore, 15-7"

"165: Andrew Fogarty, NDSU fall. Isaiah Patton, UNI, 7:20 OT"

"174: Taylor Lujan, UNI fall. Dylan Urbach, NDSU, 5:59"

"184: Drew Foster, UNI dec. Tyler McNutt ,NDSU, 11-6"

"197: Cordell Eaton, NDSU dec. Izaak Shedenhelm, UNI"

"285: Dan Stibral, NDSU dec. Carter Isley, UNI, 7-1"

"125: Jake Schwarm, UNI md. Paul Bianchi, NDSU, 10-2"

"133: McGwire Midkiff, NDSU dec. Jack Wagner, UNI, 11-6"

"141: Josh Alber, UNI tf. Sam Hampton, NDSU, 20-4"


"Virginia Tech 26, Central Michigan 6"

"125: Kyle Norstrem, VT dec. Drew Hildebrandt, CMU, 6-1"

"133: Dennis Gustafson, VT dec. Dresden Simon, CMU, 8-4"

"141: Mason Smith, CMU dec. Brent Moore, VT, 6-0"

"149: Solomon Chishko, VT dec. Justin Oliver, CMU, 3-1"

"157: BJ LaPrade, VT md. Collin Heffernan, CMU, 3-1"

"165: David McFadden, VT dec. Logan Parks, CMU, 12-4"

"174: Christian Brucki, CMU dec. Hunter Bolen, VT, 6-4"

"184: Zack Zavatsky, VT dec. Jordan Ellingwood, CMU, 13-2"

"197: Jared Haught, VT md. Jordan Atienza, CMU, 13-2"

"285: Andrew Dunn, VT dec. Matt Stencel, CMU, 6-4 OT"


"Oklahoma State 30, Minnesota 3"

"141: Dean Heil, OKST dec. Tommy Thorn, MINN, 3-1"

"149: Geo Martinez, OKST md. Hunter Marko, MINN, 9-1"

"157: Jonce Blaylock, OKST dec. Jake Short, MINN, 3-1"

"165: Chandler Rogers, OKST dec. Nick Wanzek, MINN, 3-2"

"174: Jacobe Smith, OKST md. Chris Pfarr, MINN, 10-1"

"184: Keegan Moore, OKST dec. Owen Webster, MINN, 7-6"

"197: Andrew Marsden, OKST md. Bobby Steveson, MINN, 12-3"

"285: Derek White, OKST dec. Rylee Steifel, MINN, 5-2"

"125: Ethan Lizak, MINN dec. Nick Piccininni, OKST, 10-9"

"133: Kaid Brock, OKST dec. Mitch McKee, MINN, 9-7"

"Tuesday, November 21:"


"Ohio State 43, Cleveland State 3"
"125: Cameron Lathem (CSU) dec. Brakan Mead (OSU), 7-3"
"133: Luke Pletcher (OSU) FALL Andrew Coghill (CSU), 4:12"
"141: Clay Ragon (OSU) dec. Sam Matzek (CSU), 9-7 SV1"
"149: Ke-Shawn Hayes (OSU) maj dec. Ryan Ford (CSU), 16-2"
"157: Micah Jordan (OSU) FALL Georgio Poullas (CSU), 5:31"
"165: Te'Shan Campbell (OSU) def. John Vaughn (CSU), 11-1"
"174: Bo Jordan (OSU) tech fall Gabe Stark (CSU), 19-4"
"184: Myles Martin (OSU) tech fall Nick Corba (CSU), 23-7"
"197: Kollin Moore (OSU) tech fall John Kelbly (CSU), 18-2"
"285: Kyle Snyder (OSU) tech fall Collin Kelly (CSU), 20-5"


"Ohio State 38, Kent State 9"
"125: Will Bardezbain (KSU) dec. Brakan Mead (OSU), 10-5"
"133: Luke Pletcher (OSU) dec. Anthony Tutolo (KSU), 2-0"
"141: Tim Rooney (CSU) FALL Brendan Fitzgerald (OSU), 6:57"
"149: Ke-Shawn Hayes (OSU) dec. Nick Monico (KSU), 7-2"
"157: Micah Jordan (OSU) tech fall Casey Sparkman (KSU), 19-4"
"165: Te'Shan Campbell (OSU) tech fall Isaac Bast (KSU), 15-0"
"174: Bo Jordan (OSU) tech fall Dylan Barreiro (KSU), 19-4"
"184: Myles Martin (OSU) tech fall Colin McCracken (KSU), 27-12"
"197: Kollin Moore (OSU) FALL Shane Mast (KSU), 1:16"
"285: Kyle Snyder (OSU) FALL Devin Nye (KSU), 3:39"


"Kent State 36, Cleveland State 9"
"125: Will Bardezbain (KSU) FALL Cameron Lathem (CSU), 2:37"
"133: Anthony Tutolo (KSU) dec. Andrew Coghill (CSU), 9-4"
"141: Tim Rooney (KSU) FALL Sam Matzek (CSU), 1:50"
"149: Nick Monico (KSU) dec. Ryan Ford (CSU), 3-1 SV"
"157: Casey Sparkman (KSU) tech fall Georgio Poullas (CSU), 18-3"
"165: Isaac Bast (KSU) maj dec. John Vaughn (CSU), 12-4"
"174: Gabe Stark (CSU) FALL Dylan Barreiro (KSU), 5:57"
"184: Nick Corba (CSU) dec. Collin McCracken (KSU), 7-2"
"197: Kyle Conel (KSU) tech fall John Kelbly (CSU), 18-3"
"285: Devin Nye (KSU) maj dec. Collin Kelly (CSU), 12-4"


"Air Force 24, Fresno State 12"
"125: Tony DeCesare (AFA) dec. Sean Williams (FS), 3-2"
"133: Issac Jimenez (AFA) dec. Trevo Williams (FS), 6-5, SV1"
"141: Alec Opsal (AFA) FALL Chris De Loza ÿ(FS), 3:54"
"149: Khristian Olivas (FS) tech. fall Jacoby Ward (AFA), 18-3"
"157: Greg Gaxiola (FS) maj dec. Dane Robbins (AFA), 15-6"
"165: Alex Lopouchanski (AFA) dec. Isaiah Hokit (FS), 7-2"
"174: Michael Billingsley (AFA) dec. Dominic Kincaid (FS), 4-1"
"184: Zen Ikehara (AF) dec. Angel Solis (FS), 4-2"
"197: Anthony McLaughlin (AF) dec. Richie Brandt (FS), 8-2"
"285: AJ Nevills (FS) dec. Matt Wagner (AF), 7-2"



"Friday, November 24"


"Iowa 35, Rider 6"
125: Justin Stickley (Iowa) over Jonathon Tropea (Rider) (Fall 4:36)
133: Phillip Laux (Iowa) over Anthony Cefelo (Rider) (Dec 5-1)
141: Tyson Dippery (Rider) over Vincent Turk (Iowa) (Dec 8-4)
149: Brandon Sorensen (Iowa) over Gary Dinmore (Rider) (MD 13-4)
157: Michael Kemerer (Iowa) over Bryant Clagon (Rider) (MD 18-5)
165: Chad Walsh (Rider) over Kaleb Young (Iowa) (Dec 5-4)
174: Joseph Gunther (Iowa) over Wayne Stinson (Rider) (MD 12-3)
184: Mitchell Bowman (Iowa) over Michale Fagg-Daves (Rider) (MD 15-3)
197: Cash Wilcke (Iowa) over ethan Laird (Rider) (MD 16-3)
285: Samuel Stoll (Iowa) over Mauro Correnti (Rider) (Fall 1:12)



"Saturday, November 25:"


"Nebraska 28, West Virginia 13"
141: Chad Red (NEB) wins by forfeit
"149: Colton McCrystal (NEB) dec. Kyler Rea (WVU), 6-4"
"157: Zachary Moore (WVU) dec. Collin Purinton (NEB), 8-6 SV-1"
"165: Isaiah White (NEB) major dec. Ryan Lopez (WVU), 17-7"
"174: Nick Kiussis (WVU) dec. Eric Engler (NEB), 7-1"
"184: Taylor Venz (NEB) major dec. Brenden McRill (WVU), 17-5"
"197: Eric Schultz (NEB) tech. fall Hunter DeLong (WVU), 22-5 (5:36)"
"285: David Jensen (NEB) wins by fall Brandon Ngati (WVU), 3:17"
"125: Devin Brown (WVU) dec. Mitchell Maginnis (NEB), 9-5"
"133: Matthew Schmitt (WVU) major dec. Brian Peska (NEB), 10-2"


"Missouri 22, Virginia Tech 12"
125: Barlow McGhee (MIZ) dec. Kyle Nostrem (VT): 5-1
133: John Erneste (MIZ) major. dec. Dennis Gustafson (VT): 11-2
141: Brent Moore (VT) dec. Nick Nasenbeny (MIZ): 4-0
149: Grant Leeth (MIZ) dec. Solomon Chishko (VT): 8-2
157: Joey Lavallee (MIZ) dec. B.C. LaPrade (VT): 9-2
165: Connor McFadden (VT) dec. Connor Flynn (MIZ): 5-3
174: Daniel Lewis (MIZ) dec. Hunter Bolen (VT): 3-0
184: Zack Zavastsky (VT) dec. Canten Marriott (MIZ): 13-8
197: Willie Miklus (MIZ) fall Jared Haught (VT): 6:45
285: Andrew Dunn (VT) dec. Austin Myers (MIZ): 3-1


"Buffalo 27, Ohio 9"
"125: Kyle Akins (UB) won by fall over Coleton Chase (OU), 2:31"
"133: Cameron Kelly (OU) won by decision over #5 Bryan Lantry (UB), 4-3"
"141: Alec Hagan (OU) won by decision over Blake Retell (UB), 5-0"
"149: Jason Estevez (UB) won by decision over Kade Kowalski (OU), 8-6"
"157: Cullen Cummings (OU) won by decision over Eric Fasnacht (UB), 9-6"
"165: Derek Holcomb (UB) won by decision over Ben Schneider (OU), 6-2"
"174: Austin Weigel (UB) won by decision over Joseph Terry (OU), 9-5"
"184: Brett Perry (UB) won by decision over Hunter Yeargan (OU), 4-1"
"197: Joe Ariola (UB) won by fall over Aaron Naples (OU), 1:33"
"285: Jake Gunning (UB) won by decision over Zack Parker (OU), 5-3"


"Sunday, November 26:"


"Oklahoma State 40, North Dakota State 3"
"125: Nick Piccininni (OSU) dec. Paul Bianchi (NDSU), 6-1"
"133: Kaid Brock (OSU) fall McGwire Midkiff (NDSU), 4:06"
"141: Dean Heil (OSU) TF Sam Hampton/Nico Colunga (NDSU), 16-0"
"149: Geo Martinez (OSU) dec. Mitch Bengston (NDSU), 2-0"
"157: Clay Ream (NDSU) dec. Jonce Blaylock (OSU), 3-2"
"165: Chandler Rogers (OSU) dec. Andrew Fogarty (NDSU), 9-3"
"174: Jacobe Smith (OSU) TF Charley Popp (NDSU), 21-5"
"184: Keegan Moore (OSU) fall Tyler McNutt (NDSU), 3:43"
"197: Andrew Marsden (OSU) TF Cordell Eaton (NDSU), 16-1"
"285: Derek White (OSU) MD Dan Stibral (NDSU), 12-3"


"Indiana 25, Eastern Michigan 12"
"125: Elijah Oliver (IND) maj dec. Tomas Gutierrez (EMU), 11-2"
"133: Garrett Pepple (IND) dec. Noah Gonser (EMU), 2-1"
"141: No. 16 Cole Weaver (IND) dec. Sa'Derian Perry (EMU), 5-0"
"149: Davey Tunon (IND) dec. Kyle Springer (EMU), 9-8"
"157: Jake Danishek (IND) FALL J.J. Wolfe (EMU), 5:44"
"165: Bryce Martin (IND) dec. Zac Carson (EMU), 9-6"
"174: Andrew McNally (EMU) dec. Gabe Koontz (IND), 5-4"
"184: Jakob Hinz (IND) dec Kayne MacCallum (EMU), 10-7"
"197: Derek Hillman (EMU) dec Norman Conley (IND), 6-2"
"285: Gage Hutchison (EMU) FALL Zachary Horwitz (IND), 4:33"


"Eastern Michigan 28, Indianapolis 12"
"125: Tomas Gutierrez (EMU) dec. D.J. Smith (Indy), 9-6"
133: Noah Gonser (EMU) wins by forfeit
"141: Nick Crume (Indy) dec. Sa'Derian Perry (EMU), 12-6"
"149: Kyle Barkovich (Indy) dec. Kyle Springer (EMU), 8-5"
"157: J.J. Wolfe (EMU) FALL Tony Vaughn (Indy), 6:30"
"165: Zac Carson (EMU) maj dec. J.D. Waters (Indy), 13-2"
"174: Andrew McNally (EMU) FALL Cayden Whitaker (Indy), 3:22"
"184: Brody Conner (Indy) dec. Kayne MacCallum (EMU), 7-0"
"197: Jared Langley (EMU) dec. Brian Wagner (Indy), 8-4"
"285: Dylan Faulkenberg (Indy) dec. Wyatt Harden (EMU), ÿ3-2"


"Binghamton 28, Eastern Michigan 13"
"125: Steve Bulzomi (Bing) dec. Tomas Gutierrez (EMU), 6-4"
133: Jake Nicholson (Bing) over Noah Gonser (EMU) (Medical Forfeit)
"141: Sa'Derian Perry (EMU) maj dec. Joe Russ (Bing), 12-2"
"149: Frankie Garcia (Bing) maj dec. Kyle Springer (EMU), 11-0"
"157: Tristan Rifanburg (Bing) FALL J.J. Wolfe (EMU), 3:21"
"165: Vincent DePrez (Bing) dec. Zac Carson (EMU), 4-3"
"174: Anthony Lombardo (Bing) dec. Andrew McNally (EMU), 11-4"
"184: Steve Schneider (Bing) dec. Kayne MacCallum (EMU), 3-1"
"197: Derek Hillman (EMU) dec. Mark Tracy (Bing), 9-3"
"285: Gage Hutchison (EMU) FALL Connor Calkins (Bing), 1:42"


"Missouri 18, Virginia 15"
"125: Louie Hayes (UVA) dec. Barlow McGhee (Missouri), 4-1"
"133: Jack Mueller (UVA) dec. John Erneste (Missouri), 9-2"
"141: Sam Martino (UVA) dec. Nick Nasenbeny (Missouri), 2-0"
"149: Grant Leeth (Missouri) dec. Sam Krivus (UVA), 3-1"
"157: Joey Lavallee (Missouri) major dec. Michael Murphy (UVA), 11-2"
"165: Andrew Atkinson (UVA) dec. Connor Flynn (Missouri), 7-4"
"174: Daniel Lewis (Missouri) maj dec. Will Schany (UVA), 14-2"
"184: Canten Marriott (Missouri) maj dec. Michael Battista (UVA), 10-2"
"197: Jay Aiello (UVA) dec. Wyatt Koelling (Missouri), 7-2"
"285: Austin Myers (Missouri) dec. Tyler Love (UVA), 8-3"


"Arizona State 25, South Dakota State 13"
"197: Nate Rotert (SDSU) tech fall Cade Belshay (ASU), 18-3 (6:04)"
"285: Tanner Hall (ASU) maj dec. Alex Macki (SDSU), 15-3"
"125: Ryan Millhof (ASU) dec Connor Brown (SDSU), 5-2"
"133: Seth Gross (SDSU) tech fall Ali Naser (ASU), 19-1 (5:47)"
"141: Henry Pohlmeyer (SDSU) dec. Cory Crooks (ASU), 9-4"
"149: Josh Maruca (ASU dec Colten Carlson (SDSU), 12-6"
"157: Josh Shields (ASU) dec. Luke Zilverberg (SDSU), 4-0"
"165: Anthony Valencia (ASU) maj dec. Zach Carlson (SDSU), 10-1"
"174: Zahid Valencia (ASU) tech fall David Kocer (SDSU), 21-6 (4:12)"
"184: Kordell Norfleet (ASU) dec. Brady Ayers (SDSU), 8-6"


"North Carolina 30, Appalachian State 6"
"197: Danny Chaid (UNC) pinned Randall Diabe (APP), 4:30"
"285: Cory Daniel (UNC) dec. Cary Miller (APP), 8-5"
"125: Dalton Macri (UNC) maj. dec. De'Andre Swinson-Barr (APP), 12-3"
"133: Zach Sherman (UNC) dec. Codi Russell (APP), 6-3"
"141: A.C. Headlee (UNC) maj. dec. Irvin Enriquez (APP), 18-6"
"149: Troy Heilmann (UNC) dec. Gavin Londoff (APP), 6-1"
"157: Laken Cook (APP) dec. Kennedy Monday (UNC), 9-8"
"165: Thomas Flitz (APP) dec. Clay Lautt (UNC), 10-8"
"174: Ethan Ramos (UNC) maj. dec. Forrest Przybysz (APP), 12-2"
"184: Chip Ness (UNC) dec. Alan Clothier (APP), 5-3"


"Rider 22, Iowa State 15"
"285: Marcus Harrington (ISU) dec. Ryan Cloud (RU), 8-3"
"125: J.R. Wert (RU) maj. dec. Jonathan Marmolejo (ISU), 10-1"
"133: Anthony Cefolo (RU) FALL Ian Parker (ISU), 2:01"
"141: Kanen Storr (ISU) dec. Tyson Dippery (RU), 11-6"
"149: Jarrett Degen (ISU) dec. Gary Dinmore (RU), 5-2"
"157: B.J. Clagon (RU) dec. Chase Straw (ISU), 13-11"
"165: Chad Walsh (RU) maj. dec. Colston DiBlasi (ISU), 15-5"
"174: Dean Sherry (RU) tech fall Hank Swalla (ISU), 18-3 (6:18)"
"184: Dane Pestano (ISU) dec. Wayne Stinson (RU), 9-3"
"197: Sam Colbray (ISU) dec. Ethan Laird (RU), 8-3"


"Binghamton 35, Indianapolis 7"
"125: Steven Bulzomi (BU) dec. D.J. Smith (UI), 15-8"
"133: Jake Nicholson (BU) FALL Ana Abduljelil (UI), 6:38"
"141: Angelo Robles (UI) dec. Joe Russ (BU), 7-5"
"149: Frankie Garcia (BU) dec. Elliott Molloy (UI), 3-1"
"157: Tristan Rifan burg (BU) FALL Heath Lange (UI), 4:38"
"165: Vincent DePrez (BU) FALL J.D. Waters (UI), 2:35"
"174: Anthony Lombardo (BU) maj. dec. Luke Kriech (UI), 12-3"
"184: Steve Schneider (BU) dec. Brody Conner (UI), 6-1"
"197: Mark Tracy (BU) maj. dec. Brian Wagner (UI), 12-3"
"285 Dylan Faulkenberg (UI) maj. dec. Connor Calkins (BU), 15-4"


"Binghamton 29, Indiana 6"
"125: Joe Nelson (BU) dec. Elijah Oliver (IU), 9-7"
"133: Jake Nicholson (BU) dec. Garrett Pepple (IU), 9-4"
"141: Cole Weaver (IU) dec. Joe Russ (BU), 6-1"
"149: Frankie Garcia (BU) dec. Davey Tunon (IU), 4-2 SV1"
"157: Jake Danishek (IU) dec. Tristan Rifanburg (BU), 11-9 SV1"
"165: Vincent DePrez (BU) dec. Bryce Martin (IU), 9-4"
"174: Anthony Lombardo (BU) FALL Gabe Koontz (IU), 2:42"
"184: Steve Schneider (BU) dec. Norman Conley (IU), 4-1"
"197: Mark Tracy (BU) dec. Jake Hinz (IU), 8-3"
"285: Connor Calkins (BU) tech. fall Zach Horwitz (IU), 17-1 (4:17)"


"Indiana 34, Indianapolis 8"
"125 Elijah Oliver (Indiana) maj. dec. D.J. Smith (Indianapolis), 18-8"
"133: Garrett Pepple (Indiana) FALL Nick Brady (Indianapolis), 4:25"
"141: Cole Weaver (Indiana) FALL Angelo Robles (Indianapolis), 4:49"
"149: Davey Tunon (Indiana) dec. Kyle Barkovich (Indianapolis), 8-3"
"157: Jake Danishek (Indiana) FALL Tony Vaughn (Indianapolis), 2:06"
"165: Bryce Martin (Indiana) dec. J.D. Waters (Indianapolis), 10-4"
"174: Gabe Koontz (Indiana) dec. Luke Kriech (Indianapolis), 6-4 SV1"
"184: Norman Conley (Indiana) dec. Brody Conner (Indianapolis), 3-2"
"197: Brian Wagner (Indianapolis) maj. dec. Jake Hinz (Indiana), 12-3"
"285: Dylan Faulkenberg (Indianapolis) maj. dec. Zach Horwitz (Indiana), 17-5"

"Tuesday, November 28:"

"Limestone 22, Davidson 15"
"157: Tony Palumbo (DC) dec. over Avery Dinardi (LC), 3-2"
"165: Hunter Costa (DC) dec. over Ritchie Guillame (LC), 4-3"
"174: Noah Satterfield (DC) dec. over Jimmy Sandlin (LC), 6-1"
"184: Conor Fenn (DC) dec. over Raekwon Reggler (LC), 10-4"
"197: Matt Rudy (LC) maj. dec. over Ryan Devlin (DC), 13-2"
"HWT: Daniel Bland (LC) dec. over Will Cooley (DC), 5-3"
"125: Majid Corbett (LC) fall over Michael McClelland (DC), 3:58"
"133: John Burger (LC) fall over Zamir Ode (DC), 2:24"
"141: Matt Rose (LC) dec. over Dustin Runzo (DC), 6-5"
"149: Aidan Conroy (DC) dec. over Nick Leitten (LC), 11-6"

"Thursday, November 30:"

"NC State 25, Old Dominion 15"
125: Michael McGee (ODU) tech fall Tommy Cox; 15-0
133: Caleb Richardson (ODU) dec. Jamel Morris; 7-3
141: Kevin Jack (NCSU) dec. #15 Alex Madrigal; 6-1
149: Kenan Carter (ODU) dec. Jamal Morris; 3-2
157: Hayden Hidlay (NCSU) major dec. Larry Early; 13-5
165: Brian Hamann (NCSU) major dec. Ben Schram; 13-3
174: Seldon Wright (ODU) major dec. Sam Melikian; 16-6
184: Pete Renda (NCSU) tech fall Antonio Agee; 16-1
197: Michael Macchiavello (NCSU) tech fall John D'Agostino; 17-2
285: Malik McDonald (NCSU) major dec. Ali Wahab; 11-1


"Friday, December 1:"

"Lock Haven 22, Rutgers 16"
"125: Nick Suriano, RU md. Josiah Kline, LHU, 18-5"
"133: Scott Delvecchio, RU dec. DJ Fehlman, LHU, 10-5"
"141: Kyle Shoop, LHU md. Mike Van Brill, RU, 13-0"
"149: Ronnie Perry, LHU dec. Eleazar DeLuca, RU, 5-1"
"157: Adam Klucker, LHU tf. Nick Santos, RU, 16-1"
"165: Chance Marsteller, LHU md. John Van Brill RU, 11-3"
"174: Joe Grello, RU dec. Jared Siegrist, LHU, 3-2"
"184: Jordan Pagano, RU dec. Corey Hazel, LHU, 4-2"
"197: Nick Gravina, RU dec. Tristan Sponseller, LHU, 6-4"
"285: Thomas Haines, LHU fall. Razohnn Gross, RU, 0:43"

"Lehigh 25, Princeton 13"
"125: Darian Cruz, LEH md. Jonathan Gomez, P, 18-6"
"133: Scotty Parker, LEH fall. Trey Aslanian, P, 3:23"
"141: Luke Karam, LEH dec. Patrick D'Arcy, P, 7-0"
"149: Matt Kolodzik, P dec. Courtland Schuyler, LEH, 4-2"
"157: Mike D'Angelo, P md. Ian Brown, LEH, 17-5"
"165: Jon Schliefer, P dec. Gordon Wolfe, 19-12"
"174: Jordan Kutler, LEH tf. Carlin Powell, P, 16-1"
"184: Ryan Priesch, LEH md. Kendall Elfstrum, P, 10-0"
"197: Patrick Brucki, P dec. Chris Weiler, LEH, 8-7"
"285: Christian Colucci, LEH dec. Michael Markulec, P, 6-3"

"Rider 19, Penn 15"
"125: JR Wert, RID md. Daniel Planta, PENN, 13-5"
"133: Gianni Ghione, PENN fall. Jonathon Tropea (Rider), 0:34"
"141: Tyson Dippery, RID dec. Marc Mastropietro, PENN, 9-4"
"149: Joe Oliva, PENN dec. Gary Dinmore, RID, 6-2"
"157: BJ Clagon, RID dec. Joe Velliquette, PENN, ÿ5-2"
"165: Chad Walsh, RID dec. May Bethea, PENN, 6-2"
"174: Dean Sherry, RID dec. Khamari Whimper, PENN, 12-8"
"184: Joe Heyob, PENN dec. Michael Fagg-Daves, 7-3"
"197: Frank Mattiace, PENN dec. Ethan Laird, RID, 4-2"
"285: Ryan Cloud, RID dec. Pat Garren, PENN, 10-4"

"Iowa 18, Illinois 17"
"125: Travis Piotrowski, ILL dec. Eli Stickley, IOWA, 6-4"
"133: Dylan Duncan, ILL dec. Phil Laux, IOWA, 6-1"
"141: Mikey Carr, ILL dec. Vince Turk, IOWA, 7-5"
"149: Brandon Sorenson, IOWA dec. Eric Barone, ILL, 4-1"
"157: Michael Kemerer, IOWA dec. Kyle Langenderfer, ILL, 4-1"
"165: Isaiah Martinez, ILL tf. Kaleb Young, IOWA, 23-8"
"174: Joey Gunther, IOWA dec. David Riojas, ILL, 6-1"
"184: Emery Parker, ILL dec. Mitch Bowman, IOWA, ÿ5-3"
"197: Cash Wilcke, IOWA dec. Andrew Lee, ILL, 3-1"
"285: Sam Stoll, IOWA fall. Deuce Rachel, ILL"

"Saturday, December 2:"

Cliff Keen Las Vegas Invitational
Full Brackets and Results OnÿFloArena
Championship Finals:
"125: Taylor Lamont (Utah Valley Univ) DEC Sean Russell (Edinboro), 4-3"
"133: Luke Pletcher (Ohio State University) DEC Josh Terao (American), 9-2"
"141: Yianni Diakomihalis (Cornell University) DEC Josh Alber (University of Northern Iowa), 8-2"
"149: Justin Oliver (Central Michigan) DEC Troy Heilmann (North Carolina), 9-7"
"157: Alec Pantaleo (University of Michigan) DEC Micah Jordan (Ohio State University), 10-3"
"165: David Mcfadden (Virginia Tech) F Evan Wick (Wisconsin), 2:58"
"174: Zahid Valencia (Arizona State) DEC Bo Jordan (Ohio State University), 9-6"
"184: Myles Martin (Ohio State University) DEC Domenic Abounader (University of Michigan), 8-5"
"197: Kollin Moore (Ohio State University) F Jared Haught (Virginia Tech), 1:52"
"285 Adam Coon (University of Michigan) DEC Tanner Hall (Arizona State), 4-2 SV"

"Cleveland State 28, Northern Illinois 12"
125: Cameron Lathem (CSU) wins by forfeit FF
133: Alijah Jeffrey (NIU) tech. fall Andrew Coghill (SIUE) 18-3
141: Evan Cheek (CSU) maj. dec. Bryce Thurston (NIU) 14-3
149: Ryan Ford (CSU) dec. Zack Velasquez (NIU) 2-1
157: Georgio Poullas (CSU) dec. Caden McWhirter (NIU) 10-8
165: John Vaughn (CSU) dec. Andrew Scott (NIU) 3-1
174: Quinton Rosser (NIU) dec. Gabe Stark (CSU) 11-8
184: Nick Corba (CSU) dec. Bryce Gorman (NIU) 8-5
197: John Kelbly (CSU) WBF Max Ihry (NIU) 6:59
285: Caleb Gossett (NIU) maj. dec. Collin Kelly (CSU) 15-2

"Indiana 40, Southern Illinois Edwardsville 6"
125: Elijah Oliver (IU) maj. dec. Zac Gentzler (SIUE) 16-4
133: Garrett Pepple (IU) tech. fall Joe Antonelli (SIUE) 17-0 (3:55)
141: Cole Weaver (IU) WBF John Muldoon (SIUE) 4:12
149: Tyshawn Williams (SIUE) dec. Davey Tunon (IU) 9-3
157: Jake Danishek (IU) maj. dec. Karsten Van Velsor (SIUE) 17-8
165: Bryce Martin (IU) wins by forfeit FF
174: Devin Skatzka (IU) wins by forfeit FF IU
184: Norman Conley (IU) dec. Bryce Shewan (SIUE) 8-4
